,name,id,full_url,categ
0,balls-vs-blocks,id1233739175,https://itunes.apple.com/us/app/balls-vs-blocks/id1233739175?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
1,bitmoji-your-personal-emoji,id868077558,https://itunes.apple.com/us/app/bitmoji-your-personal-emoji/id868077558?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
2,youtube-watch-videos-music-and-live-streams,id544007664,https://itunes.apple.com/us/app/youtube-watch-videos-music-and-live-streams/id544007664?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
3,fidget-spinner,id1236104279,https://itunes.apple.com/us/app/fidget-spinner/id1236104279?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
4,snapchat,id447188370,https://itunes.apple.com/us/app/snapchat/id447188370?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
5,instagram,id389801252,https://itunes.apple.com/us/app/instagram/id389801252?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
6,messenger,id454638411,https://itunes.apple.com/us/app/messenger/id454638411?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
7,facebook,id284882215,https://itunes.apple.com/us/app/facebook/id284882215?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
8,google-maps-navigation-transit,id585027354,https://itunes.apple.com/us/app/google-maps-navigation-transit/id585027354?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
9,pok%C3%A9mon-magikarp-jump,id1162679453,https://itunes.apple.com/us/app/pok%C3%A9mon-magikarp-jump/id1162679453?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
10,ballz,id1139609950,https://itunes.apple.com/us/app/ballz/id1139609950?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
11,netflix,id363590051,https://itunes.apple.com/us/app/netflix/id363590051?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
12,spotify-music,id324684580,https://itunes.apple.com/us/app/spotify-music/id324684580?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
13,gmail-email-by-google-secure-fast-organized,id422689480,https://itunes.apple.com/us/app/gmail-email-by-google-secure-fast-organized/id422689480?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
14,uber,id368677368,https://itunes.apple.com/us/app/uber/id368677368?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
15,pandora-music-radio,id284035177,https://itunes.apple.com/us/app/pandora-music-radio/id284035177?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
16,whatsapp-messenger,id310633997,https://itunes.apple.com/us/app/whatsapp-messenger/id310633997?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
17,amazon-app-shop-scan-compare-and-read-reviews,id297606951,https://itunes.apple.com/us/app/amazon-app-shop-scan-compare-and-read-reviews/id297606951?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
18,pinterest,id429047995,https://itunes.apple.com/us/app/pinterest/id429047995?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en,free
